pid,lat,lon,coords,points
4285848938,53.7748,-1.86607,POINT (-1.86607 53.7748),POINT (-1.86607 53.7748)
4378666318,53.8071,-1.55265,POINT (-1.55265 53.8071),POINT (-1.55265 53.8071)
4287864897,53.7756,-1.8525,POINT (-1.8525 53.7756),POINT (-1.8525 53.7756)
4375624350,53.8108,-1.57213,POINT (-1.57213 53.8108),POINT (-1.57213 53.8108)
4288021034,53.7764,-1.85253,POINT (-1.85253 53.7764),POINT (-1.85253 53.7764)
4234352753,53.7851,-1.84364,POINT (-1.84364 53.7851),POINT (-1.84364 53.7851)
4235124784,53.7817,-1.85738,POINT (-1.85738 53.7817),POINT (-1.85738 53.7817)
4234351549,53.7817,-1.85738,POINT (-1.85738 53.7817),POINT (-1.85738 53.7817)
4244793623,53.2356,-1.42488,POINT (-1.42488 53.2356),POINT (-1.42488 53.2356)
4370761407,51.511,-0.108447,POINT (-0.108447 51.511),POINT (-0.108447 51.511)
4356624189,55.232,-6.39522,POINT (-6.39522 55.232),POINT (-6.39522 55.232)
4357142923,51.1759,-1.79626,POINT (-1.79626 51.1759),POINT (-1.79626 51.1759)
4255784093,51.86,0.583637,POINT (0.583637 51.86),POINT (0.583637 51.86)
4340711746,53.3469,-6.28248,POINT (-6.28248 53.3469),POINT (-6.28248 53.3469)
4386041674,53.3474,-6.28286,POINT (-6.28286 53.3474),POINT (-6.28286 53.3474)
4303555164,58.1225,-3.63243,POINT (-3.63243 58.1225),POINT (-3.63243 58.1225)
4303118971,57.1588,-3.86667,POINT (-3.86667 57.1588),POINT (-3.86667 57.1588)
4364154223,55.9784,-4.21641,POINT (-4.21641 55.9784),POINT (-4.21641 55.9784)
4375259785,53.1002,-1.38592,POINT (-1.38592 53.1002),POINT (-1.38592 53.1002)
4370177459,51.9301,1.24291,POINT (1.24291 51.9301),POINT (1.24291 51.9301)
4370177463,51.9301,1.24291,POINT (1.24291 51.9301),POINT (1.24291 51.9301)
4284750674,55.9761,-4.2202,POINT (-4.2202 55.9761),POINT (-4.2202 55.9761)
4361452821,55.9774,-4.2202,POINT (-4.2202 55.9774),POINT (-4.2202 55.9774)
4324100113,55.981,-4.21984,POINT (-4.21984 55.981),POINT (-4.21984 55.981)
4231987701,55.8464,-4.43805,POINT (-4.43805 55.8464),POINT (-4.43805 55.8464)
4293387290,57.9588,-4.03748,POINT (-4.03748 57.9588),POINT (-4.03748 57.9588)
4252230262,51.3855,-1.96209,POINT (-1.96209 51.3855),POINT (-1.96209 51.3855)
4252230474,51.3855,-1.96209,POINT (-1.96209 51.3855),POINT (-1.96209 51.3855)
4252230716,51.3855,-1.96209,POINT (-1.96209 51.3855),POINT (-1.96209 51.3855)
4372836424,55.8662,-4.26866,POINT (-4.26866 55.8662),POINT (-4.26866 55.8662)
4391921977,51.3243,-0.268114,POINT (-0.268114 51.3243),POINT (-0.268114 51.3243)
